Message,Category
"Exclusive cashback available. Don’t miss.",spam
"Complete the attached form to claim prize.",spam
"Verify your mobile number to continue.",spam
"Click here to get your instant discount.",spam
"Your PayPal account needs verification.",spam
"Free recharge for all users. Hurry!",spam
"Install this app and get ₹200 instantly.",spam
"Your Amazon account needs verification.",spam
"Complete this form to receive cashback.",spam
"Win a free smartwatch today.",spam
"Update your billing details to avoid penalties.",spam
"Limited time job opportunity. Earn ₹5000 per day.",spam
"Your account is temporarily locked. Click to unlock.",spam
"Free laptop giveaway! Enter now.",spam
"Special sale: everything must go. Click to buy.",spam
"Pay ₹5 to unlock premium features.",spam
"Get loan with zero interest. Apply today.",spam
"Your mobile SIM will be blocked. Update details now.",spam
"Renew your subscription to continue usage.",spam

"Hey, can we meet tomorrow for lunch?",ham
"I will send the report by evening. Thanks!",ham
"Don't forget the meeting at 10 AM tomorrow.",ham
"Please call me when you're free.",ham
"Your order has been shipped and will arrive soon.",ham
"Happy birthday! Have a wonderful year ahead.",ham
"Let me know if you need any help.",ham
"Are you coming to the event today?",ham
"Thanks for your payment. Your balance is updated.",ham
"I reached safely. Don't worry.",ham
"Good morning! Hope you have a nice day.",ham
"Can you share the presentation file?",ham
"I'll be late to the office today.",ham
"Let's go for a walk this evening.",ham
"Your appointment is confirmed for Monday.",ham
"Can you check this and let me know?",ham
"We will discuss this in the next meeting.",ham
"Your package has been delivered.",ham
"Let me know once you reach home.",ham
"I will send the files shortly.",ham
"We can plan the trip next week.",ham
"Your booking is confirmed.",ham
"Had lunch?",ham
"Please bring the documents tomorrow.",ham
"Don't worry, I will handle this.",ham
"Your request has been approved.",ham
"Let's connect later in the evening.",ham
"Please update me about the status.",ham
"Take care and stay safe.",ham
"Thank you for your quick response.",ham
"Call me after your meeting.",ham
"Please share the location.",ham
"I'm on my way.",ham
"Let's catch up this weekend.",ham
"Your parcel is on the way.",ham
"Goodnight!",ham
"I have uploaded the assignment.",ham
"Meeting rescheduled to 3 PM.",ham
"Let’s finalize this tomorrow.",ham
"Reach office by 9 AM tomorrow.",ham
"Your payment has been processed.",ham
"I will email the details soon.",ham
"We will discuss after lunch.",ham
"Thanks for the update.",ham
"Where are you right now?",ham
"Let's join the call at 5 PM.",ham
"Please check your email.",ham
"Everything is fine here.",ham
"Let me know your thoughts.",ham
"Need any help with this?",ham
"The files are attached.",ham
"I will take care of it.",ham
"Your order is confirmed.",ham
"Please send me the invoice.",ham
"Can you come a little early?",ham
"Let’s start the project soon.",ham
"I will get back to you.",ham
"Let’s discuss this matter.",ham
"Call me once you are done.",ham
"Share the updated version.",ham
"Your class starts at 9 AM.",ham
"He is on leave today.",ham
"See you at the office.",ham
"Send me the screenshot.",ham
"Please join the meeting link.",ham
"Did you finish the task?",ham
"I will arrive soon.",ham
"Let’s start the work.",ham
"Send me your opinion.",ham
"Your test results are ready.",ham
"Please check the document.",ham
"I will meet you tomorrow.",ham
"Let’s prepare for the session.",ham
"Please complete this soon.",ham
"The meeting went well.",ham
"I will let you know soon.",ham
"Thanks for your help!",ham
"I will drop by in the evening.",ham
"Let’s review the changes.",ham
"Your appointment is scheduled.",ham
"Have a great day!",ham
"Can we talk now?",ham
"Send it when ready.",ham
"Your medicine is out of stock.",ham
"Everything is confirmed.",ham
"Please update timing.",ham
"Call when free.",ham
"See you tomorrow.",ham
"Please send details.",ham
"Thanks for reminding me.",ham
"I reached office.",ham
"Let’s discuss next steps.",ham
"Good evening.",ham
